Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
10;2025/10/23 17:34:24 771;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
11;2025/10/23 17:34:24 785;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
12;2025/10/23 17:34:24 799;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
13;2025/10/23 17:34:24 815;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
14;2025/10/23 17:34:24 827;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
15;2025/10/23 17:34:24 843;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
16;2025/10/23 17:34:24 855;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
17;2025/10/23 17:34:24 869;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
18;2025/10/23 17:34:24 882;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
19;2025/10/23 17:34:24 897;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
20;2025/10/23 17:34:24 911;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
21;2025/10/23 17:34:24 925;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
22;2025/10/23 17:34:24 939;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
23;2025/10/23 17:34:24 953;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
24;2025/10/23 17:34:24 967;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
25;2025/10/23 17:34:24 981;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
26;2025/10/23 17:34:24 994;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
27;2025/10/23 17:34:25 8;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
28;2025/10/23 17:34:25 22;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
29;2025/10/23 17:34:25 37;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
30;2025/10/23 17:34:25 49;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
31;2025/10/23 17:34:25 64;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
32;2025/10/23 17:34:25 78;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
33;2025/10/23 17:34:25 91;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
34;2025/10/23 17:34:25 105;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
35;2025/10/23 17:34:25 119;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
36;2025/10/23 17:34:25 139;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
37;2025/10/23 17:34:25 147;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
38;2025/10/23 17:34:25 161;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
39;2025/10/23 17:34:25 173;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
40;2025/10/23 17:34:25 185;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
41;2025/10/23 17:34:25 203;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
42;2025/10/23 17:34:25 216;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
43;2025/10/23 17:34:25 229;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
44;2025/10/23 17:34:25 242;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
45;2025/10/23 17:34:25 257;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
46;2025/10/23 17:34:25 272;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
47;2025/10/23 17:34:25 286;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
48;2025/10/23 17:34:25 297;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
49;2025/10/23 17:34:25 312;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
50;2025/10/23 17:34:25 325;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
51;2025/10/23 17:34:25 341;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
52;2025/10/23 17:34:25 355;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
53;2025/10/23 17:34:25 374;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
54;2025/10/23 17:34:25 431;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
55;2025/10/23 17:34:25 457;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
56;2025/10/23 17:34:25 471;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
57;2025/10/23 17:34:25 492;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
58;2025/10/23 17:34:25 527;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
59;2025/10/23 17:34:25 551;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
60;2025/10/23 17:34:25 577;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
61;2025/10/23 17:34:25 607;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
62;2025/10/23 17:34:25 631;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
63;2025/10/23 17:34:25 658;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
64;2025/10/23 17:34:25 686;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
65;2025/10/23 17:34:25 715;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
66;2025/10/23 17:34:25 742;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
67;2025/10/23 17:34:25 767;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
68;2025/10/23 17:34:25 796;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
69;2025/10/23 17:34:25 823;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
70;2025/10/23 17:34:25 851;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
71;2025/10/23 17:34:25 879;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
72;2025/10/23 17:34:25 909;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
73;2025/10/23 17:34:25 935;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
74;2025/10/23 17:34:25 963;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
75;2025/10/23 17:34:25 992;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
76;2025/10/23 17:34:26 18;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
77;2025/10/23 17:34:26 45;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
78;2025/10/23 17:34:26 74;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
79;2025/10/23 17:34:26 102;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
80;2025/10/23 17:34:26 130;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
81;2025/10/23 17:34:26 157;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
82;2025/10/23 17:34:26 185;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
83;2025/10/23 17:34:26 213;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
84;2025/10/23 17:34:26 241;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
85;2025/10/23 17:34:26 269;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
86;2025/10/23 17:34:26 297;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
87;2025/10/23 17:34:26 324;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
88;2025/10/23 17:34:26 353;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
89;2025/10/23 17:34:26 381;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
90;2025/10/23 17:34:26 408;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
91;2025/10/23 17:34:26 435;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
92;2025/10/23 17:34:26 463;(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.00, 0.87, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);---;---;---;---;---;---;(-0.07, 0.91, -0.02);(0.00000, 0.00000, 0.00000, 1.00000);
